,doc_id,category,filename,characters,words,sentences,avg_word_length,avg_sentence_length
0,178389,talk.politics.misc,178389,2011,309,111,4.621359223300971,3.0
1,178391,talk.politics.misc,178391,3176,558,97,4.304659498207886,5.474226804123711
2,178358,talk.politics.misc,178358,1855,271,99,4.464944649446495,3.065934065934066
3,178363,talk.politics.misc,178363,1622,276,76,4.4855072463768115,3.3289473684210527
4,178364,talk.politics.misc,178364,2142,355,86,4.408450704225352,3.9302325581395348
5,178361,talk.politics.misc,178361,3458,602,101,4.333887043189368,5.683168316831683
6,178368,talk.politics.misc,178368,717,118,54,4.737288135593221,2.037037037037037
7,178362,talk.politics.misc,178362,1417,245,65,4.383673469387755,3.476923076923077
8,178326,talk.politics.misc,178326,1293,194,74,5.077319587628866,2.452054794520548
9,178360,talk.politics.misc,178360,1667,285,70,4.494736842105263,3.8142857142857145
10,178353,talk.politics.misc,178353,2591,448,94,4.375,4.5638297872340425
11,178356,talk.politics.misc,178356,1358,232,82,4.517241379310345,2.6097560975609757
12,178352,talk.politics.misc,178352,1289,214,79,4.742990654205608,2.4177215189873418
13,178367,talk.politics.misc,178367,762,126,43,4.603174603174603,2.857142857142857
14,178355,talk.politics.misc,178355,3512,583,73,4.605488850771869,8.04109589041096
15,178365,talk.politics.misc,178365,1924,337,70,4.42433234421365,4.614285714285714
16,178354,talk.politics.misc,178354,1496,248,73,4.459677419354839,3.263888888888889
17,178357,talk.politics.misc,178357,1364,233,96,4.55793991416309,2.1354166666666665
18,178359,talk.politics.misc,178359,5496,954,130,4.483228511530398,7.186046511627907
19,178366,talk.politics.misc,178366,2552,452,63,4.451327433628318,6.936507936507937
20,178369,talk.politics.misc,178369,721,114,49,4.780701754385965,2.2708333333333335
21,178371,talk.politics.misc,178371,547,88,40,4.534090909090909,2.1
22,178340,talk.politics.misc,178340,4025,632,94,4.887658227848101,6.648936170212766
23,178331,talk.politics.misc,178331,1427,243,55,4.567901234567901,4.163636363636364
24,178339,talk.politics.misc,178339,1388,230,65,4.782608695652174,3.230769230769231
25,178350,talk.politics.misc,178350,1465,237,68,4.89873417721519,3.2205882352941178
26,178344,talk.politics.misc,178344,2560,440,116,4.452272727272727,3.5948275862068964
27,178328,talk.politics.misc,178328,6542,1058,134,4.719281663516068,7.708955223880597
28,178349,talk.politics.misc,178349,3505,554,100,4.958483754512636,5.35
29,178337,talk.politics.misc,178337,1689,280,88,4.632142857142857,2.977272727272727
30,178333,talk.politics.misc,178333,1626,229,62,4.829694323144105,3.8360655737704916
31,178327,talk.politics.misc,178327,2020,339,73,4.575221238938053,4.527777777777778
32,178334,talk.politics.misc,178334,2189,377,112,4.3076923076923075,3.1160714285714284
33,178309,talk.politics.misc,178309,1865,297,69,4.589225589225589,4.144927536231884
34,178335,talk.politics.misc,178335,3093,537,111,4.418994413407821,4.702702702702703
35,178343,talk.politics.misc,178343,2053,359,84,4.256267409470752,4.2023809523809526
36,178345,talk.politics.misc,178345,2221,345,101,4.715942028985507,3.2475247524752477
37,178341,talk.politics.misc,178341,2011,343,89,4.396501457725948,3.659090909090909
38,178342,talk.politics.misc,178342,1671,303,66,4.250825082508251,4.2727272727272725
39,178332,talk.politics.misc,178332,2116,343,79,4.4723032069970845,4.589743589743589
40,178338,talk.politics.misc,178338,1650,264,72,4.579545454545454,3.380281690140845
41,178324,talk.politics.misc,178324,1083,168,67,4.9226190476190474,2.257575757575758
42,178329,talk.politics.misc,178329,3086,495,101,4.795959595959596,4.633663366336633
43,178336,talk.politics.misc,178336,1704,301,70,4.368770764119601,4.057971014492754
44,178346,talk.politics.misc,178346,1479,250,53,4.736,4.5
45,178347,talk.politics.misc,178347,2595,435,93,4.466666666666667,4.612903225806452
46,178330,talk.politics.misc,178330,2149,354,89,4.7824858757062145,3.6292134831460676
47,178348,talk.politics.misc,178348,1118,185,68,4.783783783783784,2.485294117647059
48,178351,talk.politics.misc,178351,1786,288,88,4.673611111111111,3.022727272727273
49,178307,talk.politics.misc,178307,3491,551,79,5.043557168784029,6.822784810126582
50,178300,talk.politics.misc,178300,2394,379,61,4.469656992084433,6.114754098360656
51,178321,talk.politics.misc,178321,1983,310,70,4.561290322580645,4.128571428571429
52,178316,talk.politics.misc,178316,3365,577,104,4.389948006932409,5.548076923076923
53,178315,talk.politics.misc,178315,2657,460,78,4.3304347826086955,5.628205128205129
54,178312,talk.politics.misc,178312,3299,547,93,4.577696526508227,6.086956521739131
55,178318,talk.politics.misc,178318,1329,211,74,4.971563981042654,2.684931506849315
56,178310,talk.politics.misc,178310,1133,181,56,4.712707182320442,3.309090909090909
57,178308,talk.politics.misc,178308,6217,889,100,5.292463442069741,8.71
58,178317,talk.politics.misc,178317,1772,296,76,4.75,3.539473684210526
59,178311,talk.politics.misc,178311,3050,518,89,4.395752895752896,5.988636363636363
60,178320,talk.politics.misc,178320,10029,1712,122,4.545560747663552,14.125
61,178314,talk.politics.misc,178314,39873,6506,658,4.175837688287735,9.56838905775076
62,178322,talk.politics.misc,178322,2256,366,69,4.66120218579235,5.028985507246377
63,178313,talk.politics.misc,178313,20607,3588,196,4.294035674470457,17.994897959183675
64,178319,talk.politics.misc,178319,2200,258,44,4.554263565891473,5.431818181818182
65,178325,talk.politics.misc,178325,4758,677,89,4.930576070901034,7.314606741573034
66,178323,talk.politics.misc,178323,1019,176,83,4.25,2.144578313253012
67,177019,talk.politics.misc,177019,2150,351,91,4.538461538461538,3.78021978021978
68,178298,talk.politics.misc,178298,10394,1780,144,4.567977528089887,12.097222222222221
69,177023,talk.politics.misc,177023,1619,264,79,4.768939393939394,3.0632911392405062
70,177020,talk.politics.misc,177020,4309,725,124,4.499310344827586,5.733870967741935
71,177022,talk.politics.misc,177022,1425,230,71,4.891304347826087,2.9
72,177021,talk.politics.misc,177021,5583,952,132,4.516806722689076,7.166666666666667
73,177017,talk.politics.misc,177017,2620,415,113,4.7614457831325305,3.4867256637168142
74,177015,talk.politics.misc,177015,2191,371,86,4.547169811320755,4.104651162790698
75,177010,talk.politics.misc,177010,1582,228,78,4.767543859649122,2.7564102564102564
76,176991,talk.politics.misc,176991,2697,420,91,4.852380952380952,4.655555555555556
77,178303,talk.politics.misc,178303,1276,204,62,4.632352941176471,3.0327868852459017
78,178293,talk.politics.misc,178293,28068,4776,280,4.366834170854271,16.560714285714287
79,178299,talk.politics.misc,178299,2950,475,82,4.621052631578947,6.08641975308642
80,178304,talk.politics.misc,178304,3170,518,71,4.743243243243243,7.042253521126761
81,178295,talk.politics.misc,178295,3163,474,75,4.9071729957805905,6.093333333333334
82,178294,talk.politics.misc,178294,2438,151,59,4.556291390728477,2.2542372881355934
83,177018,talk.politics.misc,177018,1972,319,89,4.639498432601881,3.4831460674157304
84,178302,talk.politics.misc,178302,2611,409,85,4.54523227383863,4.682352941176471
85,177016,talk.politics.misc,177016,2780,456,101,4.442982456140351,4.514851485148514
86,178297,talk.politics.misc,178297,762,124,41,4.846774193548387,2.75
87,178301,talk.politics.misc,178301,3205,553,74,4.47377938517179,7.22972972972973
88,178296,talk.politics.misc,178296,1128,179,50,4.698324022346369,3.3469387755102042
89,177024,talk.politics.misc,177024,976,156,75,4.961538461538462,1.837837837837838
90,177012,talk.politics.misc,177012,1712,294,78,4.557823129251701,3.5
91,178305,talk.politics.misc,178305,1947,304,91,4.884868421052632,3.1648351648351647
92,178306,talk.politics.misc,178306,2765,501,93,4.199600798403194,4.483870967741935
93,178544,talk.politics.misc,178544,1959,334,66,4.350299401197605,5.107692307692307
94,178535,talk.politics.misc,178535,2092,318,81,4.572327044025157,3.740740740740741
95,178540,talk.politics.misc,178540,2559,427,84,4.702576112412178,4.821428571428571
96,178532,talk.politics.misc,178532,2177,324,78,4.7253086419753085,3.9871794871794872
97,178541,talk.politics.misc,178541,2608,428,94,4.521028037383178,4.351063829787234
98,178530,talk.politics.misc,178530,1188,199,50,4.663316582914573,3.8
99,178536,talk.politics.misc,178536,3167,495,91,4.1171717171717175,5.527472527472527
100,178539,talk.politics.misc,178539,2020,309,80,4.669902912621359,3.5125
101,178543,talk.politics.misc,178543,1052,172,79,4.6395348837209305,2.0759493670886076
102,178538,talk.politics.misc,178538,2045,343,74,4.705539358600583,4.351351351351352
103,178534,talk.politics.misc,178534,2978,500,84,4.564,5.773809523809524
104,178527,talk.politics.misc,178527,2388,396,89,4.696969696969697,4.101123595505618
105,178542,talk.politics.misc,178542,2697,448,97,4.477678571428571,4.824742268041237
106,178525,talk.politics.misc,178525,1418,233,81,4.665236051502146,2.6625
107,178537,talk.politics.misc,178537,1278,217,76,4.599078341013825,2.6666666666666665
108,178545,talk.politics.misc,178545,1651,265,51,5.007547169811321,4.803921568627451
